id,is_save,is_confirm,last_edited_time,created_time,continent,country,continent_name,name,latitude,longitude,updated_date,resource,resource_type,commodity_type,production,consumption,pct_total_production,pct_total_consumption,total_resource_type_production,total_resource_type_consumption,import_usd,export_usd,import_qty,export_qty
1147,True,True,2016-11-18 10:27:32.126097+00:00,2016-11-18 10:27:32.126127+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.126184+00:00,Brent Crude Oil Futures,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1148,True,True,2016-11-18 10:27:32.136378+00:00,2016-11-18 10:27:32.136407+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.136466+00:00,Crude Oil Futures,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1149,True,True,2016-11-18 10:27:32.148645+00:00,2016-11-18 10:27:32.148677+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.148736+00:00,Gulf Coast Diesel Futures,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1150,True,True,2016-11-18 10:27:32.156252+00:00,2016-11-18 10:27:32.156295+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.156352+00:00,Heating Oil,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1151,True,True,2016-11-18 10:27:32.162705+00:00,2016-11-18 10:27:32.162734+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.162793+00:00,Heating Oil Futures,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1152,True,True,2016-11-18 10:27:32.168115+00:00,2016-11-18 10:27:32.168142+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.168208+00:00,Light Crude,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1153,True,True,2016-11-18 10:27:32.180141+00:00,2016-11-18 10:27:32.180173+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.180233+00:00,MiNY Crude Oil Futures,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1154,True,True,2016-11-18 10:27:32.194593+00:00,2016-11-18 10:27:32.194626+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.194689+00:00,MiNY Heating Oil Futures,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1155,True,True,2016-11-18 10:27:32.204185+00:00,2016-11-18 10:27:32.204217+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.204276+00:00,Russian Export Blend Crude Oil (REBCO) Futures,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1156,True,True,2016-11-18 10:27:32.212642+00:00,2016-11-18 10:27:32.212673+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.212731+00:00,Singapore 380cst Fuel Oil Futures,energy,oil,60309.2,0.0,0.098,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1157,True,True,2016-11-18 10:27:32.226596+00:00,2016-11-18 10:27:32.226628+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.226689+00:00,Uranium,energy,nuclear,20308.2,0.0,0.033,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1158,True,True,2016-11-18 10:27:32.232536+00:00,2016-11-18 10:27:32.232568+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.232626+00:00,Uranium Futures,metal,nuclear,20308.2,0.0,0.033,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1159,True,True,2016-11-18 10:27:32.244265+00:00,2016-11-18 10:27:32.244298+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.244358+00:00,Ethanol Futures,energy,gas,73848.0,0.0,0.12,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
1160,True,True,2016-11-18 10:27:32.253369+00:00,2016-11-18 10:27:32.253404+00:00,Continent object,Canada,North America,Canada,43,-79,2016-11-18 10:27:32.253468+00:00,Gasoline,energy,gas,73848.0,0.0,0.12,0.0,615400.0,0.0,0.0,0.0,0.0,0.0
