Date,Close,High,Low,Open,Volume
2017-04-23 19:15:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 19:20:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 19:25:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 19:30:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 19:35:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 19:40:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 19:45:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 19:50:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 19:55:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:00:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:05:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:10:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:15:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:20:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:25:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:30:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:35:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:40:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:45:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:50:00,1.685,1.685,1.685,1.685,0.0
2017-04-23 20:55:00,1.685,1.685,1.685,1.685,0.0
2017-05-18 15:20:00,1.3601,1.37,1.36,1.37,2150.0
2017-05-18 15:25:00,1.36,1.37,1.36,1.36,7160.0
2017-05-18 15:30:00,1.38,1.38,1.36,1.36,4265.0
2017-05-18 15:35:00,1.39,1.39,1.3735,1.38,1250.0
2017-05-18 15:40:00,1.38,1.38,1.3775,1.38,930.0
2017-05-18 15:45:00,1.38,1.38,1.37,1.38,400.0
2017-05-18 15:50:00,1.39,1.39,1.37,1.37,12350.0
2017-05-18 15:55:00,1.425,1.43,1.4,1.4,28390.0
2017-05-18 16:00:00,1.425,1.43,1.42,1.42,4737.0
2017-05-18 16:15:00,1.44,1.44,1.44,1.44,270.0
2017-05-19 09:15:00,1.42,1.42,1.42,1.42,2000.0
2017-05-19 09:35:00,1.4371,1.45,1.42,1.45,20539.0
2017-05-19 09:40:00,1.43,1.43,1.43,1.43,931.0
2017-05-19 09:45:00,1.4381,1.4382,1.4301,1.4338,7000.0
2017-05-19 09:50:00,1.43,1.44,1.43,1.4399,2700.0
2017-05-19 09:55:00,1.47,1.47,1.44,1.44,22100.0
2017-05-19 10:00:00,1.46,1.47,1.46,1.4699,23830.0
2017-05-19 10:05:00,1.4701,1.48,1.465,1.4699,16454.0
2017-05-19 10:10:00,1.44,1.47,1.44,1.463,19022.0
2017-05-19 10:20:00,1.4479,1.45,1.44,1.44,700.0
2017-05-19 10:25:00,1.46,1.46,1.4499,1.45,20100.0
2017-05-19 10:30:00,1.445,1.4568,1.44,1.45,19400.0
2017-05-19 10:35:00,1.45,1.45,1.445,1.4499,2500.0
2017-05-19 10:45:00,1.4525,1.4525,1.45,1.45,3444.0
2017-05-19 10:50:00,1.46,1.46,1.455,1.46,1176.0
2017-05-19 10:55:00,1.455,1.46,1.455,1.4578,10175.0
2017-05-19 11:00:00,1.4402,1.46,1.44,1.45,19551.0
2017-05-19 11:05:00,1.4447,1.4447,1.4447,1.4447,200.0
2017-05-19 11:10:00,1.458,1.46,1.45,1.45,1933.0
2017-05-19 11:20:00,1.4499,1.46,1.4499,1.455,3296.0
2017-05-19 11:25:00,1.4596,1.4596,1.4594,1.4594,3100.0
2017-05-19 11:35:00,1.47,1.47,1.455,1.455,9254.0
2017-05-19 11:40:00,1.47,1.47,1.46,1.46,18700.0
2017-05-19 11:50:00,1.4644,1.47,1.4644,1.465,3199.0
2017-05-19 11:55:00,1.46,1.46,1.46,1.46,2000.0
2017-05-19 12:00:00,1.46,1.47,1.46,1.4652,11502.0
2017-05-19 12:05:00,1.46,1.47,1.46,1.465,1000.0
2017-05-19 12:10:00,1.465,1.465,1.465,1.465,500.0
2017-05-19 12:15:00,1.475,1.48,1.46,1.465,18348.0
2017-05-19 12:20:00,1.4751,1.4799,1.475,1.475,12000.0
2017-05-19 12:25:00,1.48,1.48,1.4727,1.475,3330.0
2017-05-19 12:30:00,1.49,1.5,1.48,1.48,17486.0
2017-05-19 12:35:00,1.4901,1.5,1.49,1.4965,6650.0
2017-05-19 12:40:00,1.49,1.49,1.48,1.49,15200.0
2017-05-19 12:45:00,1.4684,1.485,1.46,1.48,27005.0
2017-05-19 12:50:00,1.4663,1.47,1.4663,1.4684,5500.0
2017-05-19 12:55:00,1.47,1.47,1.47,1.47,1000.0
2017-05-19 13:00:00,1.49,1.49,1.47,1.47,8100.0
2017-05-19 13:05:00,1.499,1.5,1.48,1.48,13028.0
2017-05-19 13:10:00,1.4985,1.5,1.4981,1.5,1430.0
2017-05-19 13:15:00,1.4901,1.496,1.49,1.496,5134.0
2017-05-19 13:20:00,1.4901,1.4901,1.4901,1.4901,500.0
2017-05-19 13:25:00,1.48,1.49,1.48,1.49,18818.0
2017-05-19 13:30:00,1.49,1.49,1.4875,1.4875,16726.0
2017-05-19 13:35:00,1.4879,1.4879,1.4879,1.4879,3150.0
2017-05-19 13:40:00,1.489,1.489,1.485,1.4874,375.0
2017-05-19 13:45:00,1.49,1.49,1.49,1.49,100.0
2017-05-19 13:50:00,1.46,1.489,1.45,1.4836,11655.0
2017-05-19 13:55:00,1.429,1.46,1.42,1.457,55607.0
2017-05-19 14:00:00,1.425,1.4299,1.425,1.425,8400.0
2017-05-19 14:15:00,1.43,1.43,1.425,1.425,300.0
2017-05-19 14:20:00,1.425,1.429,1.42,1.425,4100.0
2017-05-19 14:25:00,1.42,1.4228,1.42,1.4216,2300.0
2017-05-19 14:30:00,1.419,1.4296,1.4,1.4227,75950.0
2017-05-19 14:35:00,1.419,1.42,1.415,1.415,3800.0
2017-05-19 14:45:00,1.4,1.42,1.4,1.4164,10540.0
2017-05-19 14:50:00,1.407,1.407,1.4,1.4001,7700.0
2017-05-19 14:55:00,1.42,1.42,1.405,1.405,16183.0
2017-05-19 15:00:00,1.4201,1.4201,1.4201,1.4201,100.0
2017-05-19 15:05:00,1.42,1.43,1.42,1.43,1235.0
2017-05-19 15:15:00,1.415,1.43,1.41,1.42,22352.0
2017-05-19 15:25:00,1.415,1.4196,1.415,1.4196,5090.0
2017-05-19 15:30:00,1.41,1.415,1.41,1.415,400.0
2017-05-19 15:35:00,1.415,1.4199,1.415,1.415,1375.0
2017-05-19 15:40:00,1.41,1.415,1.41,1.415,648.0
2017-05-19 15:45:00,1.415,1.415,1.415,1.415,400.0
2017-05-19 15:50:00,1.4168,1.42,1.415,1.415,1228.0
2017-05-19 15:55:00,1.4347,1.4347,1.415,1.415,7946.0
2017-05-19 16:00:00,1.42,1.44,1.42,1.43,10288.0
2017-05-19 16:05:00,1.43,1.43,1.43,1.43,430.0
2017-05-22 08:10:00,1.6,1.68,1.45,1.45,19693.0
2017-05-22 08:15:00,1.63,1.65,1.59,1.65,13287.0
2017-05-22 08:20:00,1.62,1.63,1.62,1.62,22769.0
2017-05-22 08:25:00,1.76,1.8,1.63,1.63,72469.0
2017-05-22 08:30:00,1.73,1.79,1.72,1.77,77848.0
2017-05-22 08:35:00,1.73,1.74,1.72,1.74,34584.0
2017-05-22 08:40:00,1.73,1.73,1.7,1.73,21450.0
2017-05-22 08:45:00,1.76,1.77,1.71,1.72,38538.0
2017-05-22 08:50:00,1.75,1.76,1.74,1.74,43735.0
2017-05-22 08:55:00,1.75,1.75,1.75,1.75,16692.0
2017-05-22 09:00:00,1.73,1.74,1.71,1.74,45857.0
2017-05-22 09:05:00,1.73,1.75,1.73,1.74,45126.0
2017-05-22 09:10:00,1.74,1.74,1.72,1.73,16141.0
2017-05-22 09:15:00,1.72,1.74,1.7,1.74,25791.0
2017-05-22 09:20:00,1.72,1.73,1.68,1.72,51119.0
2017-05-22 09:25:00,1.74,1.74,1.72,1.73,24220.0
2017-05-22 09:30:00,1.79,1.79,1.73,1.73,117838.0
2017-05-22 09:35:00,1.6799,1.85,1.66,1.79,1996668.0
